Film,Film Länge (Min),Sektion,Sprache,Untertitel,Screening Count,Has Evening/Weekend Screening,Screenings,IMDb Rating,IMDb Votes,Director,Stars,Genre,First Release Year,Plot,Awards,IMDb Search Link
DEREK VS. DEREK,88.0,NOW/FUTURE,Englisch,de,3,No,25.09.2026 17:45-19:18 @ KINOKONI 2 | 28.09.2026 17:30-19:23 @ KINOKONI 2 | 29.09.2026 13:00-14:53 @ Arthouse Piccadilly,8.3,17,James Dawson,"Derek Banbury, Derek Gow",Documentary,2026,"Follows two implacably opposed neighboring farmers in Devon, England, both named Derek. One believes in intensive farming while the other creates an oasis for nature, driven by opposing perceptions of agriculture.",1 nomination total,https://www.imdb.com/find?q=DEREK%20VS.%20DEREK&s=tt
DUA,101.0,Spielfilm- Wettbewerb,"Albanisch, Serbisch","en, de",4,Yes,02.10.2026 18:00-19:46 @ KINOKONI 3 | 03.10.2026 20:30-22:16 @ KINOKONI 6 | 28.09.2026 17:45-19:51 @ KINOKONI 6 | 29.09.2026 15:15-17:21 @ KINOKONI 6,8.2,93,Marjan Gavrilovski,"Mirsad Abazi, Flakron Aliu, Atanas Atanasovski","Comedy, Crime, Drama",2023,"A junkie, a gambler and an accordion player get involved with a mafia while on their way to return a bought Albanian girl back to her father.",N/A,https://www.imdb.com/find?q=DUA&s=tt
TIME AND WATER,94.0,NOW/FUTURE,"Englisch, Isländisch",de,3,Yes,02.10.2026 16:00-17:39 @ KINOKONI 1 | 24.09.2026 18:00-19:39 @ KINOKONI 1 | 27.09.2026 15:45-17:24 @ Corso 4,8.2,34,Sara Dosa,Andri Snær Magnason,"Documentary, Family, Sci-Fi",2026,"An Icelandic writer preserves vanishing glaciers, departed grandparents, family memories, and flowing time in his personal archives, transforming loss into a time capsule.",N/A,https://www.imdb.com/find?q=TIME%20AND%20WATER&s=tt
ONE IN A MILLION,105.0,Dokumentarfilm- Wettbewerb,"Arabisch, Deutsch, Englisch","en, de",4,Yes,03.10.2026 17:45-19:35 @ KINOKONI 3 | 27.09.2026 21:00-23:10 @ KINOKONI 3 | 28.09.2026 17:30-19:40 @ Corso 4 | 29.09.2026 15:00-16:50 @ KINOKONI 3,8.0,31,N/A,N/A,"Documentary, Biography",2026,"A Syrian girl's decade-long journey to Germany and back, as she and her family face the challenges of war and life as refugees, showing both the hardships and hopes of starting anew.",2 wins & 1 nomination total,https://www.imdb.com/find?q=ONE%20IN%20A%20MILLION&s=tt
PERFECT ROAD,91.0,Dokumentarfilm- Wettbewerb,"Englisch, Französisch","en, de",4,Yes,03.10.2026 13:00-14:36 @ Corso 4 | 25.09.2026 18:15-20:16 @ KINOKONI 6 | 26.09.2026 16:00-17:56 @ Corso 4 | 29.09.2026 15:30-17:06 @ Arthouse Piccadilly,8.0,2243,Phil Churchward,"Jeremy Clarkson, Richard Hammond, The Stig","Documentary, Comedy",2014,"Join the dynamic motoring duo as they face all sorts of challenges and stunts on their quest for the perfect road trip, which culminates in a strangely literal car race on the island of Capri. This time it really is perfect. Except for the bits that aren't.",N/A,https://www.imdb.com/find?q=PERFECT%20ROAD&s=tt
QUEEN AT SEA,121.0,Gala Premieren,Englisch,"de, fr",3,Yes,26.09.2026 18:00-20:26 @ Arthouse Le Paris | 27.09.2026 15:30-17:36 @ KINOKONI 1 | 29.09.2026 20:15-22:21 @ Arthouse Piccadilly,7.9,52,Lance Hammer,"Noah Hunt Basden, Juliette Binoche, Anna Calder-Marshall",Drama,2026,"As dementia erodes a woman's ability to communicate her inner life, her husband and daughter struggle to act in her best interest, navigating love and the fragile boundaries between care, protection, and autonomy.",1 nomination total,https://www.imdb.com/find?q=QUEEN%20AT%20SEA&s=tt
BUGBOY,87.0,Dokumentarfilm- Wettbewerb,"Griechisch, Englisch","en, de",4,Yes,01.10.2026 20:30-22:02 @ Arthouse Piccadilly | 02.10.2026 13:30-15:02 @ KINOKONI 3 | 27.09.2026 18:30-20:22 @ KINOKONI 3 | 28.09.2026 18:30-20:22 @ KINOKONI 3,7.8,20,Lucas Paleocrassas,N/A,Documentary,2026,"George, a shy teenager with misaligned eyes, struggles to connect with others after his parents' divorce. Finding refuge in the world of insects, he bonds with a cricket named Isabella. Through a portrait of transformation and self-discovery, the film reminds us that even the smallest creatures can help us find where we belong.",1 nomination total,https://www.imdb.com/find?q=BUGBOY&s=tt
"HA-CHAN, SHAKE YOUR BOOTY!",122.0,Sounds,"Englisch, Japanisch, Spanisch",de,3,Yes,02.10.2026 20:45-22:52 @ KINOKONI 6 | 24.09.2026 20:45-22:52 @ KINOKONI 2 | 26.09.2026 17:45-19:52 @ Arena 4,7.8,101,Josef Kubota Wladyka,"Rinko Kikuchi, Alberto Guerra, Alejandro Edda","Comedy, Drama, Romance",2026,"Haru and Luis love competing in Tokyo's ballroom dance scene, but after tragedy strikes, Haru withdraws into isolation. When friends coax her back to the studio, she develops an infatuation with the new instructor.",1 win & 1 nomination total,https://www.imdb.com/find?q=HA-CHAN%2C%20SHAKE%20YOUR%20BOOTY%21&s=tt
VATERLAND,82.0,Gala Premieren,Deutsch,en,3,Yes,01.10.2026 18:30-20:17 @ Arthouse Le Paris | 02.10.2026 21:15-23:02 @ Arthouse Le Paris | 04.10.2026 18:00-19:27 @ Corso 1,7.8,5,Berthold Wahjudi,"Sarah Muckarin Röser, Aggai Saibuma",Short,2026,"When German-Indonesian Yanto (mid 20s) visits his younger sister in Yogyakarta, he expects a simple reunion - until he realises she belongs more effortlessly than he ever has. As envy and dissonance between siblings surface, Yantos journey becomes a bittersweet exploration of mixed-race identity.",1 win total,https://www.imdb.com/find?q=VATERLAND&s=tt
THE WEIGHT,115.0,Gala Premieren,Englisch,de,3,Yes,24.09.2026 21:00-23:10 @ Corso 1 | 25.09.2026 21:15-23:15 @ Arena 4 | 27.09.2026 20:45-22:45 @ Arena 4,7.7,656,Denis Mosquero Morante,"Yui Ishikawa, Yûki Kaji, Hiroshi Kamiya","Animation, Action, Adventure",2023,"It is the fourth film in the compilation saga. That collects from chapters 38 to 42 of the third season, and includes the óvulos of Levi ackerman",N/A,https://www.imdb.com/find?q=THE%20WEIGHT&s=tt
