Film,Datum,Beginn,Ende,Film Länge,Location,Sektion,Sprache,Untertitel
MINOTAUR,24.09.2026,17:30,19:55,140,Arthouse Le Paris,Gala Premieren,Russisch,de
TENZING,24.09.2026,17:45,20:08,128,Corso 1,Gala Premieren,Englisch,de
TIME AND WATER,24.09.2026,18:00,19:39,94,KINOKONI 1,NOW/FUTURE,"Englisch, Isländisch",de
ONCE UPON A TIME IN HARLEM,24.09.2026,18:00,19:45,100,Arthouse Piccadilly,Signatures,Englisch,en
THE MATCH,24.09.2026,18:15,19:48,88,KINOKONI 3,Dokumentarfilm- Wettbewerb,Englisch,de
THE END OF IT,24.09.2026,18:30,20:17,102,KINOKONI 6,Hashtag #artificialintelligenc e,Englisch,
FINDING CONNECTION,24.09.2026,18:45,20:16,86,KINOKONI 2,Hashtag #artificialintelligenc e,"Englisch, Deutsch","Englisch, Deutsch"
A GIRL UNKNOWN,24.09.2026,20:15,22:25,125,Arthouse Piccadilly,Spielfilm- Wettbewerb,Chinesisch,"en, de, fr"
LA BOLA NEGRA,24.09.2026,20:15,22:55,155,KINOKONI 1,Signatures,"Spanisch, Französisch",de
POSSIBLE LOVE,24.09.2026,20:30,23:19,164,Arthouse Le Paris,Gala Premieren,Koreanisch,"de, en"
THE GYMNASTS OF FISHERMAN COLONY,24.09.2026,20:30,22:07,92,KINOKONI 3,Dokumentarfilm- Wettbewerb,"Urdu, Bengalisch, Englisch","en, de"
"HA-CHAN, SHAKE YOUR BOOTY!",24.09.2026,20:45,22:52,122,KINOKONI 2,Sounds,"Englisch, Japanisch, Spanisch",de
GENTLE MONSTER,24.09.2026,21:00,22:59,114,KINOKONI 6,Signatures,"Deutsch, Englisch, Französisch","de, fr"
THE WEIGHT,24.09.2026,21:00,23:10,115,Corso 1,Gala Premieren,Englisch,de
FLESH AND FUEL,25.09.2026,17:45,19:40,90,Corso 2,Spielfilm- Wettbewerb,"Französisch, Englisch, Polnisch","de, en"
LA DéTENTION,25.09.2026,17:45,20:23,133,Arthouse Piccadilly,Dokumentarfilm- Wettbewerb,Französisch,"en, de"
DEREK VS. DEREK,25.09.2026,17:45,19:18,88,KINOKONI 2,NOW/FUTURE,Englisch,de
I PLAY ROCKY,25.09.2026,18:00,20:28,128,Kongresssaal,Gala Premieren,Englisch,"de, fr"
WE ARE BORN GOOD,25.09.2026,18:00,19:46,96,KINOKONI 3,Signatures,Kantonesisch,"zh, en"
MILA / MARIJA,25.09.2026,18:00,20:20,110,Corso 4,Spielfilm- Wettbewerb,"Slowenisch, Englisch, Deutsch","de, en"
POSSIBLE LOVE,25.09.2026,18:00,20:49,164,Arena 4,Gala Premieren,Koreanisch,"de, en"
PERFECT ROAD,25.09.2026,18:15,20:16,91,KINOKONI 6,Dokumentarfilm- Wettbewerb,"Englisch, Französisch","en, de"
BUCKING FASTARD,25.09.2026,18:15,20:09,109,Arena 3,Signatures,Englisch,
A BIT OF LIGHT,25.09.2026,18:15,20:07,87,Arthouse Le Paris,Gala Premieren,Persisch,"de, fr"
SUCCEDERà QUESTA NOTTE,25.09.2026,18:15,20:23,103,Corso 1,Gala Premieren,"Italienisch, Englisch, Spanisch",de
A LONG WINTER,25.09.2026,18:30,20:32,117,KINOKONI 1,Signatures,Englisch,
FINDING CONNECTION,25.09.2026,19:00,20:31,86,Corso 3,Hashtag #artificialintelligenc e,"Deutsch, Englisch",
AI: PROBABLY NOTHING TO WORRY ABOUT,25.09.2026,20:00,22:33,128,KINOKONI 2,Hashtag #artificialintelligenc e,Englisch,en
BLACK CHURCH BAY,25.09.2026,20:30,22:47,107,Corso 2,Spielfilm- Wettbewerb,Englisch,de
THE GYMNASTS OF FISHERMAN COLONY,25.09.2026,20:30,22:07,92,KINOKONI 3,Dokumentarfilm- Wettbewerb,"Urdu, Bengalisch, Englisch","en, de"
EL DESHIELO,25.09.2026,20:45,22:58,108,KINOKONI 6,Spielfilm- Wettbewerb,"Spanisch, Englisch, Deutsch","de, en, fr"
TECHPLOMACY,25.09.2026,20:45,22:43,93,Corso 4,Hashtag #artificialintelligenc e,"Englisch, Dänisch",en
RITORNO A BUENOS AIRES,25.09.2026,20:45,22:54,104,Arthouse Le Paris,Gala Premieren,Italienisch,"de, fr"
DAZED AND CONFUSED,25.09.2026,20:45,22:32,102,Filmpodium,Retrospektive: Richard Linklater,Englisch,de
WILD HORSE NINE,25.09.2026,21:00,23:28,118,Corso 1,Gala Premieren,Englisch,"de, fr"
HOT WATER,25.09.2026,21:00,23:02,97,KINOKONI 1,Spielfilm- Wettbewerb,"Englisch, Arabisch, Französisch","en, de"
COLD WAR 1994,25.09.2026,21:00,23:02,117,Arena 3,Signatures,Kantonesisch,"zh, en"
THE DEBUT,25.09.2026,21:15,23:30,105,Kongresssaal,Gala Premieren,Englisch,"de, fr"
WE ARE STARDUST,25.09.2026,21:15,23:21,101,Arthouse Piccadilly,Dokumentarfilm- Wettbewerb,"Englisch, Norwegisch","en, de"
THE WEIGHT,25.09.2026,21:15,23:15,115,Arena 4,Gala Premieren,Englisch,de
DAS GEHEIMNIS DER GESTOHLENEN MASKE,26.09.2026,10:30,12:35,100,Arena 3,ZFF für Kinder,Deutsch,
ATLAS,26.09.2026,10:45,11:45,,KINOKONI 2,ZFF für Kinder,Englisch,
MIRA,26.09.2026,12:00,13:30,85,Arena 4,ZFF für Kinder,Deutsch (Synchronfassung),
